OFFGAS SYSTEM LOGS
============================================================

[2026-05-07T16:54:05.373266] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=162 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:54:10.438112] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=163 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:54:15.386601] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=161 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:54:20.455180] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=161 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:54:25.398595] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=161 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:54:30.503245] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=164 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:54:35.406956] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=161 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:54:40.507052] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=162 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:54:45.408435] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=160 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:54:50.496118] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=163 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:54:55.432586] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=162 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:55:00.480799] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=160 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:55:05.433347] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=161 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:55:10.494807] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=161 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:55:15.454142] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=162 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:55:20.494672] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=163 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:55:25.556765] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=160 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:55:30.530060] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=161 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:55:35.587567] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=162 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:55:40.516139] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=161 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:55:45.534481] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=163 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:55:50.523644] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=160 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:55:55.542283] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=161 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:56:00.537726] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=164 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:56:05.549771] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=162 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:56:10.555194] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=162 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:56:15.590534] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=161 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:56:20.562740] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=160 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:56:25.551263] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=163 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:56:30.562642] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=164 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:56:35.585308] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=162 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:56:40.575939] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=162 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:56:45.562400] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=160 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:56:50.587648] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=162 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:56:55.573963] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=161 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:57:00.623265] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=161 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:57:05.594089] EVENT=BRIDGE_STOPPED | GARAGE=G1 | GAS=None | TOPIC=None | STATUS=INFO
